Home Team,Away Team,Full Time Home Team Goals,Full Time Away Team Goals,Full Time Result,Home Team Shots on Target,Away Team Shots on Target,Home Win,Away Win
Burnley,Man City,0,3,A,1,8,0,1
Arsenal,Nott'm Forest,2,1,H,7,2,1,0
Bournemouth,West Ham,1,1,D,5,3,0,0
Brighton,Luton,4,1,H,12,3,1,0
Everton,Fulham,0,1,A,9,2,0,1
Sheffield United,Crystal Palace,0,1,A,1,8,0,1
Newcastle,Aston Villa,5,1,H,13,6,1,0
Brentford,Tottenham,2,2,D,6,6,0,0
Chelsea,Liverpool,1,1,D,4,1,0,0
Man United,Wolves,1,0,H,3,6,1,0
Nott'm Forest,Sheffield United,2,1,H,4,3,1,0
Fulham,Brentford,0,3,A,2,8,0,1
Liverpool,Bournemouth,3,1,H,10,5,1,0
Wolves,Brighton,1,4,A,5,8,0,1
Tottenham,Man United,2,0,H,6,6,1,0
Man City,Newcastle,1,0,H,4,1,1,0
Aston Villa,Everton,4,0,H,7,2,1,0
West Ham,Chelsea,3,1,H,6,4,1,0
Crystal Palace,Arsenal,0,1,A,2,3,0,1
Chelsea,Luton,3,0,H,8,1,1,0
Bournemouth,Tottenham,0,2,A,3,6,0,1
Arsenal,Fulham,2,2,D,11,3,0,0
Brentford,Crystal Palace,1,1,D,1,5,0,0
Everton,Wolves,0,1,A,7,2,0,1
Man United,Nott'm Forest,3,2,H,9,4,1,0
Brighton,West Ham,1,3,A,10,3,0,1
Burnley,Aston Villa,1,3,A,2,6,0,1
Sheffield United,Man City,1,2,A,2,9,0,1
Newcastle,Liverpool,1,2,A,8,4,0,1
Luton,West Ham,1,2,A,1,3,0,1
Sheffield United,Everton,2,2,D,8,6,0,0
Brentford,Bournemouth,2,2,D,7,5,0,0
Burnley,Tottenham,2,5,A,4,10,0,1
Chelsea,Nott'm Forest,0,1,A,2,3,0,1
Man City,Fulham,5,1,H,5,4,1,0
Brighton,Newcastle,3,1,H,6,2,1,0
Crystal Palace,Wolves,3,2,H,11,4,1,0
Liverpool,Aston Villa,3,0,H,4,3,1,0
Arsenal,Man United,3,1,H,5,2,1,0
Wolves,Liverpool,1,3,A,2,6,0,1
Aston Villa,Crystal Palace,3,1,H,5,3,1,0
Fulham,Luton,1,0,H,2,2,1,0
Man United,Brighton,1,3,A,4,8,0,1
Tottenham,Sheffield United,2,1,H,10,5,1,0
West Ham,Man City,1,3,A,3,15,0,1
Newcastle,Brentford,1,0,H,2,2,1,0
Bournemouth,Chelsea,0,0,D,4,6,0,0
Everton,Arsenal,0,1,A,1,4,0,1
Nott'm Forest,Burnley,1,1,D,4,3,0,0
Crystal Palace,Fulham,0,0,D,3,5,0,0
Luton,Wolves,1,1,D,4,3,0,0
Man City,Nott'm Forest,2,0,H,4,3,1,0
Brentford,Everton,1,3,A,2,6,0,1
Burnley,Man United,0,1,A,4,4,0,1
Arsenal,Tottenham,2,2,D,6,5,0,0
Brighton,Bournemouth,3,1,H,4,4,1,0
Chelsea,Aston Villa,0,1,A,4,7,0,1
Liverpool,West Ham,3,1,H,7,4,1,0
Sheffield United,Newcastle,0,8,A,1,15,0,1
Aston Villa,Brighton,6,1,H,9,3,1,0
Bournemouth,Arsenal,0,4,A,1,8,0,1
Everton,Luton,1,2,A,5,2,0,1
Man United,Crystal Palace,0,1,A,4,2,0,1
Newcastle,Burnley,2,0,H,8,2,1,0
West Ham,Sheffield United,2,0,H,9,2,1,0
Wolves,Man City,2,1,H,1,8,1,0
Tottenham,Liverpool,2,1,H,8,4,1,0
Nott'm Forest,Brentford,1,1,D,1,5,0,0
Fulham,Chelsea,0,2,A,3,4,0,1
Luton,Burnley,1,2,A,3,4,0,1
Luton,Tottenham,0,1,A,2,4,0,1
Burnley,Chelsea,1,4,A,3,5,0,1
Everton,Bournemouth,3,0,H,8,4,1,0
Fulham,Sheffield United,3,1,H,6,2,1,0
Man United,Brentford,2,1,H,8,3,1,0
Crystal Palace,Nott'm Forest,0,0,D,2,5,0,0
Brighton,Liverpool,2,2,D,3,4,0,0
West Ham,Newcastle,2,2,D,3,3,0,0
Wolves,Aston Villa,1,1,D,3,4,0,0
Arsenal,Man City,1,0,H,2,1,1,0
Liverpool,Everton,2,0,H,6,1,1,0
Bournemouth,Wolves,1,2,A,4,7,0,1
Brentford,Burnley,3,0,H,10,1,1,0
Man City,Brighton,2,1,H,6,3,1,0
Newcastle,Crystal Palace,4,0,H,7,3,1,0
Nott'm Forest,Luton,2,2,D,8,4,0,0
Chelsea,Arsenal,2,2,D,5,3,0,0
Sheffield United,Man United,1,2,A,6,5,0,1
Aston Villa,West Ham,4,1,H,7,4,1,0
Tottenham,Fulham,2,0,H,5,3,1,0
Crystal Palace,Tottenham,1,2,A,3,1,0,1
Chelsea,Brentford,0,2,A,2,5,0,1
Arsenal,Sheffield United,5,0,H,8,0,1,0
Bournemouth,Burnley,2,1,H,6,3,1,0
Wolves,Newcastle,2,2,D,6,5,0,0
West Ham,Everton,0,1,A,2,4,0,1
Aston Villa,Luton,3,1,H,6,1,1,0
Brighton,Fulham,1,1,D,7,5,0,0
Liverpool,Nott'm Forest,3,0,H,8,1,1,0
Man United,Man City,0,3,A,3,10,0,1
Fulham,Man United,0,1,A,3,5,0,1
Brentford,West Ham,3,2,H,4,2,1,0
Burnley,Crystal Palace,0,2,A,5,3,0,1
Everton,Brighton,1,1,D,4,2,0,0
Man City,Bournemouth,6,1,H,8,1,1,0
Sheffield United,Wolves,2,1,H,2,3,1,0
Newcastle,Arsenal,1,0,H,2,1,1,0
Nott'm Forest,Aston Villa,2,0,H,3,3,1,0
Luton,Liverpool,1,1,D,5,6,0,0
Tottenham,Chelsea,1,4,A,5,8,0,1
Wolves,Tottenham,2,1,H,4,2,1,0
Arsenal,Burnley,3,1,H,6,5,1,0
Crystal Palace,Everton,2,3,A,4,4,0,1
Man United,Luton,1,0,H,4,4,1,0
Bournemouth,Newcastle,2,0,H,10,5,1,0
Aston Villa,Fulham,3,1,H,6,5,1,0
Brighton,Sheffield United,1,1,D,6,1,0,0
Liverpool,Brentford,3,0,H,10,3,1,0
West Ham,Nott'm Forest,3,2,H,6,5,1,0
Chelsea,Man City,4,4,D,9,10,0,0
Man City,Liverpool,1,1,D,5,3,0,0
Burnley,West Ham,1,2,A,5,3,0,1
Luton,Crystal Palace,2,1,H,3,8,1,0
Newcastle,Chelsea,4,1,H,5,4,1,0
Nott'm Forest,Brighton,2,3,A,5,5,0,1
Sheffield United,Bournemouth,1,3,A,2,11,0,1
Brentford,Arsenal,0,1,A,3,4,0,1
Tottenham,Aston Villa,1,2,A,8,5,0,1
Everton,Man United,0,3,A,6,4,0,1
Fulham,Wolves,3,2,H,6,6,1,0
Arsenal,Wolves,2,1,H,6,3,1,0
Brentford,Luton,3,1,H,6,1,1,0
Burnley,Sheffield United,5,0,H,7,3,1,0
Nott'm Forest,Everton,0,1,A,2,3,0,1
Newcastle,Man United,1,0,H,4,1,1,0
Bournemouth,Aston Villa,2,2,D,7,3,0,0
Chelsea,Brighton,3,2,H,5,9,1,0
Liverpool,Fulham,4,3,H,12,5,1,0
West Ham,Crystal Palace,1,1,D,3,2,0,0
Man City,Tottenham,3,3,D,4,4,0,0
Wolves,Burnley,1,0,H,4,3,1,0
Luton,Arsenal,3,4,A,4,9,0,1
Brighton,Brentford,2,1,H,7,2,1,0
Crystal Palace,Bournemouth,0,2,A,3,4,0,1
Fulham,Nott'm Forest,5,0,H,6,1,1,0
Sheffield United,Liverpool,0,2,A,1,8,0,1
Aston Villa,Man City,1,0,H,7,2,1,0
Man United,Chelsea,2,1,H,9,3,1,0
Everton,Newcastle,3,0,H,6,3,1,0
Tottenham,West Ham,1,2,A,7,5,0,1
Crystal Palace,Liverpool,1,2,A,4,2,0,1
Brighton,Burnley,1,1,D,11,3,0,0
Man United,Bournemouth,0,3,A,3,4,0,1
Sheffield United,Brentford,1,0,H,4,4,1,0
Wolves,Nott'm Forest,1,1,D,4,2,0,0
Aston Villa,Arsenal,1,0,H,3,5,1,0
Everton,Chelsea,2,0,H,5,4,1,0
Fulham,West Ham,5,0,H,8,5,1,0
Luton,Man City,1,2,A,2,6,0,1
Tottenham,Newcastle,4,1,H,12,3,1,0
Nott'm Forest,Tottenham,0,2,A,1,6,0,1
Chelsea,Sheffield United,2,0,H,6,1,1,0
Man City,Crystal Palace,2,2,D,9,2,0,0
Newcastle,Fulham,3,0,H,10,4,1,0
Burnley,Everton,0,2,A,2,6,0,1
Arsenal,Brighton,2,0,H,9,1,1,0
Brentford,Aston Villa,1,2,A,3,5,0,1
West Ham,Wolves,3,0,H,4,3,1,0
Liverpool,Man United,0,0,D,8,1,0,0
Crystal Palace,Brighton,1,1,D,3,6,0,0
Aston Villa,Sheffield United,1,1,D,4,2,0,0
West Ham,Man United,2,0,H,5,3,1,0
Fulham,Burnley,0,2,A,5,2,0,1
Luton,Newcastle,1,0,H,5,2,1,0
